^VIX (CBOE Volatility Index),18.34,-1.01
Aug 29 2019 @ 09:28 ET,Bid,0,Ask,0,Size,0x0,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
09/04/2019,VIXW190904C00032500,0.12,0,0,1.11,0,0.02,0,0,149,32.500,VIXW190904P00032500,0,0,12.45,15.4,0,0.02,0,0,0
09/04/2019,VIXW190904C00035000,0.11,0,0,1.1,0,0.02,0,0,180,35.000,VIXW190904P00035000,0,0,14.95,17.9,0,0.02,0,0,0
09/04/2019,VIXW190904C00037500,0.2,0,0,1.09,0,0.02,0,0,6,37.500,VIXW190904P00037500,0,0,17.4,20.35,0,0.02,0,0,0
09/04/2019,VIXW190904C00040000,0.05,0,0,1.08,0,0.02,0,0,5110,40.000,VIXW190904P00040000,0,0,19.9,22.85,0,0.02,0,0,0
09/04/2019,VIXW190904C00042500,0,0,0,1.07,0,0.02,0,0,0,42.500,VIXW190904P00042500,0,0,22.4,25.35,0,0.02,0,0,0
09/04/2019,VIXW190904C00045000,0.06,0,0,1.07,0,0.02,0,0,2105,45.000,VIXW190904P00045000,0,0,24.9,27.85,0,0.02,0,0,0
09/04/2019,VIXW190904C00047500,0,0,0,1.07,0,0.02,0,0,0,47.500,VIXW190904P00047500,0,0,27.4,30.35,0,0.02,0,0,0
09/04/2019,VIXW190904C00050000,0.1,0,0,1.07,0,0.02,0,0,2,50.000,VIXW190904P00050000,0,0,29.9,32.85,0,0.02,0,0,0
09/04/2019,VIXW190904C00055000,0,0,0,1.06,0,0.02,0,0,0,55.000,VIXW190904P00055000,35,0,34.9,37.85,0,0.02,0,0,0
09/04/2019,VIXW190904C00060000,0,0,0,1.06,0,0.02,0,0,0,60.000,VIXW190904P00060000,0,0,39.9,42.85,0,0.02,0,0,0
09/04/2019,VIXW190904C00065000,0,0,0,1.06,0,0.02,0,0,0,65.000,VIXW190904P00065000,0,0,44.9,47.85,0,0.02,0,0,0
09/04/2019,VIXW190904C00070000,0,0,0,1.06,0,0.02,0,0,0,70.000,VIXW190904P00070000,0,0,49.9,52.85,0,0.02,0,0,0
09/04/2019,VIXW190904C00075000,0.05,0,0,1.06,0,0.02,0,0,1,75.000,VIXW190904P00075000,55.1,0,54.85,57.85,0,0.02,0,0,0
09/04/2019,VIXW190904C00080000,0,0,0,1.06,0,0.02,0,0,0,80.000,VIXW190904P00080000,0,0,59.85,62.85,0,0.02,0,0,0
09/11/2019,VIXW190911C00010000,0,0,7.15,10.1,0,0.02,0,0,0,10.000,VIXW190911P00010000,0,0,0,0,0,0,0,0,0
09/11/2019,VIXW190911C00010500,0,0,6.65,9.6,0,0.02,0,0,0,10.500,VIXW190911P00010500,0,0,0,0,0,0,0,0,0
09/11/2019,VIXW190911C00011000,0,0,6.15,9.1,0,0.02,0,0,0,11.000,VIXW190911P00011000,0,0,0,0,0,0,0,0,0
09/11/2019,VIXW190911C00011500,0,0,5.65,8.6,0,0.02,0,0,0,11.500,VIXW190911P00011500,0.03,0,0,0,0,0,0,0,17
09/11/2019,VIXW190911C00012000,0,0,5.15,8.1,0,0.02,0,0,0,12.000,VIXW190911P00012000,0.09,0,0,0,0,0,0,0,25
09/11/2019,VIXW190911C00012500,0,0,4.65,7.6,0,0.02,0,0,0,12.500,VIXW190911P00012500,0,0,0,1.06,0,0.02,0,0,0
09/11/2019,VIXW190911C00013000,6.93,0,4.15,7.1,0,0.02,0,0,2,13.000,VIXW190911P00013000,0.1,0,0,1.07,0,0.02,0,0,12
09/11/2019,VIXW190911C00013500,7.07,0,3.7,6.6,0,0.02,0,0,1,13.500,VIXW190911P00013500,0.08,0,0,1.09,0,0.02,0,0,5
09/11/2019,VIXW190911C00014000,5.98,0,3.2,6.15,0,0.02,0,0,7,14.000,VIXW190911P00014000,0.12,0,0,1.12,0,0.02,0,0,10
09/11/2019,VIXW190911C00014500,4.9,0,2.8,5.7,0,0.02,0,0,9,14.500,VIXW190911P00014500,0.18,0,0,1.17,0,0.02,0,0,2
09/11/2019,VIXW190911C00015000,4.9,0,2.33,5.25,0,0.02,0,0,56,15.000,VIXW190911P00015000,0.09,0,0,0.7,0,0.02,0,0,146
09/11/2019,VIXW190911C00016000,4.7,0,1.4,4.65,0,0.02,0,0,73,16.000,VIXW190911P00016000,0.25,0,0,1.75,0,0.02,0,0,97
09/11/2019,VIXW190911C00017000,3,0,0.68,4.1,0,0.02,0,0,95,17.000,VIXW190911P00017000,0.59,0,0,2.3,0,0.02,0,0,129
09/11/2019,VIXW190911C00018000,2.75,0,0.16,3.65,0,0.02,0,0,70,18.000,VIXW190911P00018000,0.92,0,0,2.92,0,0.02,0,0,121
09/11/2019,VIXW190911C00019000,2.59,0,0,3.25,0,0.02,0,0,105,19.000,VIXW190911P00019000,1.45,0,0.18,1.75,0,0.02,0,0,215
09/11/2019,VIXW190911C00020000,2.1,0,0,2.9,0,0.02,0,0,288,20.000,VIXW190911P00020000,2.1,0,0.86,4.35,0,0.02,0,0,124
09/11/2019,VIXW190911C00021000,1.5,0,0,2.62,0,0.02,0,0,178,21.000,VIXW190911P00021000,2.96,0,1.63,5.15,0,0.02,0,0,71
09/11/2019,VIXW190911C00022000,1.2,0,0,2.38,0,0.02,0,0,249,22.000,VIXW190911P00022000,3.49,0,2.46,5.95,0,0.02,0,0,14
09/11/2019,VIXW190911C00023000,1.03,0,0,2.19,0,0.02,0,0,27,23.000,VIXW190911P00023000,5.5,0,3.3,6.8,0,0.02,0,0,31
09/11/2019,VIXW190911C00024000,0.83,0,0,2.02,0,0.02,0,0,95,24.000,VIXW190911P00024000,4.6,0,4.25,7.65,0,0.02,0,0,40
09/11/2019,VIXW190911C00025000,0.8,0,0,0,0,0,0,0,419,25.000,VIXW190911P00025000,0,0,5.2,8.55,0,0.02,0,0,0
09/11/2019,VIXW190911C00026000,0.9,0,0,1.75,0,0.02,0,0,14,26.000,VIXW190911P00026000,0,0,6.15,9.4,0,0.02,0,0,0
09/11/2019,VIXW190911C00027000,0.6,0,0,0,0,0,0,0,19,27.000,VIXW190911P00027000,0,0,7.1,10.35,0,0.02,0,0,0
09/11/2019,VIXW190911C00028000,0.65,0,0,1.53,0,0.02,0,0,9,28.000,VIXW190911P00028000,0,0,8.1,11.25,0,0.02,0,0,0
09/11/2019,VIXW190911C00029000,0.38,0,0,1.44,0,0.02,0,0,15,29.000,VIXW190911P00029000,0,0,9.1,12.15,0,0.02,0,0,0
09/11/2019,VIXW190911C00030000,0.35,0,0,1.36,0,0.02,0,0,342,30.000,VIXW190911P00030000,0,0,10.1,13.1,0,0.02,0,0,0
09/11/2019,VIXW190911C00032500,0.35,0,0,1.24,0,0.02,0,0,112,32.500,VIXW190911P00032500,0,0,12.6,15.5,0,0.02,0,0,0
09/11/2019,VIXW190911C00035000,0.25,0,0,1.2,0,0.02,0,0,16,35.000,VIXW190911P00035000,0,0,15.05,17.95,0,0.02,0,0,0
09/11/2019,VIXW190911C00037500,0,0,0,1.17,0,0.02,0,0,0,37.500,VIXW190911P00037500,0,0,17.5,20.45,0,0.02,0,0,0
09/11/2019,VIXW190911C00040000,0.15,0,0,1.15,0,0.02,0,0,11,40.000,VIXW190911P00040000,0,0,20,22.9,0,0.02,0,0,0
09/11/2019,VIXW190911C00042500,0,0,0,1.13,0,0.02,0,0,0,42.500,VIXW190911P00042500,0,0,22.45,25.4,0,0.02,0,0,0
09/11/2019,VIXW190911C00045000,0.12,0,0,1.12,0,0.02,0,0,1,45.000,VIXW190911P00045000,0,0,24.95,27.9,0,0.02,0,0,0
09/11/2019,VIXW190911C00047500,0,0,0,1.11,0,0.02,0,0,0,47.500,VIXW190911P00047500,0,0,27.45,30.35,0,0.02,0,0,0
09/11/2019,VIXW190911C00050000,0.15,0,0,1.1,0,0.02,0,0,2,50.000,VIXW190911P00050000,0,0,29.9,32.85,0,0.02,0,0,0
09/11/2019,VIXW190911C00055000,0,0,0,1.09,0,0.02,0,0,0,55.000,VIXW190911P00055000,0,0,34.9,37.85,0,0.02,0,0,0
09/11/2019,VIXW190911C00060000,0,0,0,1.08,0,0.02,0,0,0,60.000,VIXW190911P00060000,0,0,39.9,42.85,0,0.02,0,0,0
09/11/2019,VIXW190911C00065000,0,0,0,1.08,0,0.02,0,0,0,65.000,VIXW190911P00065000,0,0,44.9,47.85,0,0.02,0,0,0
09/11/2019,VIXW190911C00070000,0,0,0,1.07,0,0.02,0,0,0,70.000,VIXW190911P00070000,0,0,49.85,52.8,0,0.02,0,0,0
09/11/2019,VIXW190911C00075000,0,0,0,1.07,0,0.02,0,0,0,75.000,VIXW190911P00075000,0,0,54.85,57.8,0,0.02,0,0,0
09/11/2019,VIXW190911C00080000,0,0,0,1.07,0,0.02,0,0,0,80.000,VIXW190911P00080000,0,0,59.85,62.8,0,0.02,0,0,0
09/18/2019,VIX190918C00010000,9.6,0,8.6,9,0,1.0977,0.994,0.0029,3315,10.000,VIX190918P00010000,0.05,0,0,0.05,0,0.02,0,0,764
09/18/2019,VIX190918C00010500,7.4,0,8.1,8.5,0,1.0564,0.9923,0.004,59,10.500,VIX190918P00010500,0,0,0,0.05,0,0.02,0,0,0
09/18/2019,VIX190918C00011000,8.7,0,7.6,8,0,0.9229,0.9941,0.0034,469,11.000,VIX190918P00011000,0.01,0,0,0.05,0,0.02,0,0,4440
09/18/2019,VIX190918C00011500,8.3,0,7.1,7.5,0,0.8511,0.9937,0.004,45,11.500,VIX190918P00011500,0.05,0,0,0.05,0,0.02,0,0,1629
09/18/2019,VIX190918C00012000,8.2,0,6.6,7,0,0.7814,0.9934,0.0045,901,12.000,VIX190918P00012000,0.01,0,0,0.05,0,0.9236,-0.0162,0.01,11807
09/18/2019,VIX190918C00012500,7.4,0,6.2,6.5,0,1.001,0.9673,0.0161,135,12.500,VIX190918P00012500,0.05,0,0,0.05,0,0.8495,-0.0177,0.0118,369
09/18/2019,VIX190918C00013000,7.2,0,5.7,6,0,0.9147,0.9652,0.0186,1884,13.000,VIX190918P00013000,0.03,0,0,0.1,0,0.8701,-0.031,0.0184,89285
09/18/2019,VIX190918C00013500,6.9,0,5.2,5.6,0,0.95,0.9441,0.0265,208,13.500,VIX190918P00013500,0.04,0,0,0.1,0,0.7899,-0.0334,0.0216,20818
09/18/2019,VIX190918C00014000,6.1,0,4.8,5.1,0,0.9516,0.9232,0.034,3537,14.000,VIX190918P00014000,0.08,0,0.05,0.1,0,0.8006,-0.0478,0.0282,121424
09/18/2019,VIX190918C00014500,5.5,0,4.3,4.7,0,0.9329,0.9019,0.0418,322,14.500,VIX190918P00014500,0.1,0,0.1,0.25,0,0.8679,-0.0912,0.0433,29647
09/18/2019,VIX190918C00015000,5.2,0,3.9,4.2,0,1.0521,0.8408,0.0526,49334,15.000,VIX190918P00015000,0.2,0,0.2,0.3,0,0.8668,-0.1213,0.0533,127472
09/18/2019,VIX190918C00016000,3.9,0,3.2,3.5,0,1.0765,0.766,0.0651,90889,16.000,VIX190918P00016000,0.45,0,0.45,0.6,0,0.9203,-0.208,0.0714,144608
09/18/2019,VIX190918C00017000,3.35,0,2.65,2.9,0,1.0387,0.703,0.0755,58281,17.000,VIX190918P00017000,0.79,0,0.85,1,0,0.9697,-0.3028,0.0825,109111
09/18/2019,VIX190918C00018000,2.67,-0.625,2.15,2.4,0,1.0782,0.6166,0.0803,122909,18.000,VIX190918P00018000,1.25,0,1.35,1.55,0,1.0631,-0.382,0.0814,90859
09/18/2019,VIX190918C00019000,2.25,0,1.75,2,0,1.1215,0.5357,0.0804,93361,19.000,VIX190918P00019000,1.86,0.45,1.95,2.15,0,1.1074,-0.4641,0.0814,38187
09/18/2019,VIX190918C00020000,1.87,-0.475,1.45,1.65,0,1.1611,0.463,0.0776,191737,20.000,VIX190918P00020000,2.4,0,2.65,2.85,0,1.1067,-0.5571,0.0817,22471
09/18/2019,VIX190918C00021000,1.6,0,1.25,1.4,0,1.2188,0.4028,0.0721,103579,21.000,VIX190918P00021000,3.2,0,3.4,3.6,0,1.2057,-0.5983,0.0727,13793
09/18/2019,VIX190918C00022000,1.37,0,1.05,1.2,0,1.2634,0.3503,0.0666,97552,22.000,VIX190918P00022000,3.89,0,4.2,4.4,0,1.2503,-0.6512,0.0671,1444
09/18/2019,VIX190918C00023000,1.19,0,0.9,1.05,0,1.3128,0.3074,0.0608,214636,23.000,VIX190918P00023000,4.6,0.55,5,5.3,0,1.2159,-0.7244,0.0628,2155
09/18/2019,VIX190918C00024000,1.05,0,0.75,0.9,0,1.3717,0.2645,0.0547,223095,24.000,VIX190918P00024000,5.2,0,5.8,6.1,0,1.292,-0.7432,0.0565,1190
09/18/2019,VIX190918C00025000,0.87,0,0.65,0.8,0,1.4138,0.2344,0.0497,397376,25.000,VIX190918P00025000,6.49,0,6.7,7,0,1.332,-0.7748,0.051,1037
09/18/2019,VIX190918C00026000,0.77,0,0.55,0.7,0,1.4385,0.2054,0.0453,107148,26.000,VIX190918P00026000,7.31,0,7.6,7.9,0,1.3572,-0.8046,0.046,439
09/18/2019,VIX190918C00027000,0.7,0,0.45,0.6,0,1.4503,0.1779,0.0411,104140,27.000,VIX190918P00027000,8.2,0,8.5,8.9,0,1.4104,-0.8231,0.0416,631
09/18/2019,VIX190918C00028000,0.6,0,0.4,0.55,0,1.4926,0.1607,0.0374,39559,28.000,VIX190918P00028000,10.3,0,9.5,9.8,0,1.2944,-0.8826,0.0346,146
09/18/2019,VIX190918C00029000,0.7,0,0.35,0.5,0,1.5231,0.1439,0.0341,33586,29.000,VIX190918P00029000,11,0,10.4,10.8,0,1.5366,-0.8463,0.0348,233
09/18/2019,VIX190918C00030000,0.47,0,0.3,0.45,0,1.5492,0.1287,0.0311,200154,30.000,VIX190918P00030000,10.8,0,11.4,11.7,0,1.5112,-0.8726,0.0311,358
09/18/2019,VIX190918C00032500,0.35,0,0.25,0.35,0,1.6121,0.1035,0.0253,61108,32.500,VIX190918P00032500,12.8,0,13.8,14.1,0,1.5632,-0.9043,0.0245,210
09/18/2019,VIX190918C00035000,0.3,0,0.15,0.3,0,1.6743,0.0789,0.0201,79704,35.000,VIX190918P00035000,15,0,16.2,16.6,0,1.6451,-0.9212,0.0201,432
09/18/2019,VIX190918C00037500,0.3,0,0.1,0.25,0,1.7196,0.0623,0.0163,46938,37.500,VIX190918P00037500,18.2,0,18.7,19,0,1.6885,-0.9382,0.0162,21
09/18/2019,VIX190918C00040000,0.18,0,0.1,0.2,0,1.7906,0.0534,0.0139,17031,40.000,VIX190918P00040000,22.5,0,21.1,21.5,0,1.7096,-0.953,0.0128,448
09/18/2019,VIX190918C00042500,0.15,0,0.05,0.2,0,1.8359,0.0442,0.0117,121232,42.500,VIX190918P00042500,22.6,0,23.6,23.9,0,1.6827,-0.9684,0.0093,65
09/18/2019,VIX190918C00045000,0.13,0,0.05,0.15,0,1.8604,0.0354,0.0096,20394,45.000,VIX190918P00045000,26.71,0,26.1,26.4,0,1.7898,-0.9684,0.0088,3
09/18/2019,VIX190918C00047500,0.15,0,0.05,0.15,0,1.9533,0.0346,0.009,12728,47.500,VIX190918P00047500,29.1,0,28.6,28.9,0,0,-0.994,0.0022,336
09/18/2019,VIX190918C00050000,0.1,0,0,0.15,0,1.9524,0.0268,0.0073,17162,50.000,VIX190918P00050000,30.2,0,31,31.4,0,1.7525,-0.9842,0.0048,192
09/18/2019,VIX190918C00055000,0.15,0,0,0.1,0,2.001,0.019,0.0053,17091,55.000,VIX190918P00055000,35.85,0,36,36.4,0,1.9267,-0.9833,0.0046,15
09/18/2019,VIX190918C00060000,0.05,0,0,0.1,0,2.1072,0.0169,0.0046,16187,60.000,VIX190918P00060000,40.1,0,41,41.3,0,0,-0.99,0.0029,10
09/18/2019,VIX190918C00065000,0.05,0,0,0.1,0,2.2369,0.0169,0.0043,4968,65.000,VIX190918P00065000,46.5,0,46,46.3,0,0,-1,0.0044,98
09/18/2019,VIX190918C00070000,0.05,0,0,0.1,0,2.3463,0.0164,0.004,3554,70.000,VIX190918P00070000,50,0,51,51.3,0,1.876,-0.9961,0.001,7
09/18/2019,VIX190918C00075000,0.05,0,0,0.1,0,2.4362,0.0156,0.0037,3508,75.000,VIX190918P00075000,57.4,0,56,56.3,0,0.02,-0.9867,0.0031,8
09/18/2019,VIX190918C00080000,0.05,0,0,0.05,0,2.3417,0.0086,0.0023,6101,80.000,VIX190918P00080000,59.9,0,60.9,61.3,0,0,-0.9851,0.0032,96
09/25/2019,VIXW190925C00010000,0,0,7.3,10.3,0,0.02,0,0,0,10.000,VIXW190925P00010000,0,0,0,0,0,0,0,0,0
09/25/2019,VIXW190925C00010500,0,0,6.8,9.8,0,0.02,0,0,0,10.500,VIXW190925P00010500,0,0,0,0,0,0,0,0,0
09/25/2019,VIXW190925C00011000,10,0,6.3,9.3,0,0.02,0,0,10,11.000,VIXW190925P00011000,0,0,0,0,0,0,0,0,0
09/25/2019,VIXW190925C00011500,6.8,0,5.8,8.8,0,0.02,0,0,30,11.500,VIXW190925P00011500,0,0,0,0,0,0,0,0,0
09/25/2019,VIXW190925C00012000,7.73,0,5.3,8.3,0,0.02,0,0,2,12.000,VIXW190925P00012000,0.19,0,0,1.1,0,0.02,0,0,52
09/25/2019,VIXW190925C00012500,6.4,0,4.8,7.8,0,0.02,0,0,40,12.500,VIXW190925P00012500,0,0,0,1.1,0,0.02,0,0,0
09/25/2019,VIXW190925C00013000,5.96,0,4.4,7.3,0,0.02,0,0,11,13.000,VIXW190925P00013000,0,0,0,1.15,0,0.02,0,0,0
09/25/2019,VIXW190925C00013500,0,0,3.9,6.9,0,0.02,0,0,0,13.500,VIXW190925P00013500,0,0,0,1.2,0,0.02,0,0,0
09/25/2019,VIXW190925C00014000,5.8,0,3.5,6.4,0,0.02,0,0,4,14.000,VIXW190925P00014000,0.1,0,0,1.25,0,0.02,0,0,27
09/25/2019,VIXW190925C00014500,0,0,3.1,6,0,0.02,0,0,0,14.500,VIXW190925P00014500,0.15,0,0,1.3,0,0.02,0,0,1
09/25/2019,VIXW190925C00015000,5.6,0,2.7,5.6,0,0.02,0,0,45,15.000,VIXW190925P00015000,0.19,0,0,1.45,0,0.02,0,0,123
09/25/2019,VIXW190925C00016000,4.58,0,1.9,5,0,0.02,0,0,43,16.000,VIXW190925P00016000,0.44,0,0,1.95,0,0.02,0,0,18
09/25/2019,VIXW190925C00017000,4,0,1.25,4.5,0,0.02,0,0,23,17.000,VIXW190925P00017000,1.15,0,0,2.45,0,0.02,0,0,177
09/25/2019,VIXW190925C00018000,3.38,0,0.75,4,0,0.02,0,0,44,18.000,VIXW190925P00018000,1.23,0,0.1,3.1,0,0.02,0,0,252
09/25/2019,VIXW190925C00019000,2.14,0,0.4,3.6,0,0.02,0,0,55,19.000,VIXW190925P00019000,1.43,0,0.65,3.8,0,0.02,0,0,158
09/25/2019,VIXW190925C00020000,2.1,0,0.1,3.3,0,0.02,0,0,144,20.000,VIXW190925P00020000,2.4,0,1.3,4.5,0,0.02,0,0,192
09/25/2019,VIXW190925C00021000,2.45,0,0,2.95,0,0.02,0,0,68,21.000,VIXW190925P00021000,2.75,0,2,5.2,0,0.02,0,0,6
09/25/2019,VIXW190925C00022000,1.61,0,0,2.7,0,0.02,0,0,112,22.000,VIXW190925P00022000,4,0,2.8,6,0,0.02,0,0,116
09/25/2019,VIXW190925C00023000,1.36,0,0,2.5,0,0.02,0,0,12196,23.000,VIXW190925P00023000,4.3,0,3.6,6.9,0,0.02,0,0,3
09/25/2019,VIXW190925C00024000,1.2,0,0,2.3,0,0.02,0,0,11482,24.000,VIXW190925P00024000,5,0,4.4,7.7,0,0.02,0,0,10
09/25/2019,VIXW190925C00025000,1.1,0,0.5,2.15,0,0.02,0,0,282,25.000,VIXW190925P00025000,7.5,0,5.3,8.6,0,0.02,0,0,11
09/25/2019,VIXW190925C00026000,0.95,0,0,2,0,0.02,0,0,29,26.000,VIXW190925P00026000,6.8,0,6.3,9.5,0,0.02,0,0,155
09/25/2019,VIXW190925C00027000,0.9,0,0,1.9,0,0.02,0,0,10150,27.000,VIXW190925P00027000,0,0,7.2,10.4,0,0.02,0,0,0
09/25/2019,VIXW190925C00028000,0.8,0,0,1.8,0,0.02,0,0,13,28.000,VIXW190925P00028000,0,0,8.1,11.3,0,0.02,0,0,0
09/25/2019,VIXW190925C00029000,0.65,0,0,1.7,0,0.02,0,0,9574,29.000,VIXW190925P00029000,9.4,0,9.1,12.2,0,0.02,0,0,125
09/25/2019,VIXW190925C00030000,0.75,0,0,1.6,0,0.02,0,0,9092,30.000,VIXW190925P00030000,0,0,10.1,13.1,0,0.02,0,0,0
09/25/2019,VIXW190925C00032500,0.51,0,0,1.45,0,0.02,0,0,165,32.500,VIXW190925P00032500,0,0,12.5,15.5,0,0.02,0,0,0
09/25/2019,VIXW190925C00035000,0.43,0,0,1.35,0,0.02,0,0,48,35.000,VIXW190925P00035000,0,0,15,17.9,0,0.02,0,0,0
09/25/2019,VIXW190925C00037500,0.26,0,0,1.3,0,0.02,0,0,21,37.500,VIXW190925P00037500,17.6,0,17.4,20.3,0,0.02,0,0,24
09/25/2019,VIXW190925C00040000,0.27,0,0,1.25,0,0.02,0,0,37,40.000,VIXW190925P00040000,0,0,19.9,22.8,0,0.02,0,0,0
09/25/2019,VIXW190925C00042500,0,0,0,1.2,0,0.02,0,0,0,42.500,VIXW190925P00042500,0,0,22.3,25.3,0,0.02,0,0,0
09/25/2019,VIXW190925C00045000,0,0,0,1.2,0,0.02,0,0,0,45.000,VIXW190925P00045000,0,0,24.8,27.7,0,0.02,0,0,0
09/25/2019,VIXW190925C00047500,0,0,0,1.2,0,0.02,0,0,0,47.500,VIXW190925P00047500,0,0,27.3,30.2,0,0.02,0,0,0
09/25/2019,VIXW190925C00050000,0,0,0,1.15,0,0.02,0,0,0,50.000,VIXW190925P00050000,0,0,29.7,32.7,0,0.02,0,0,0
09/25/2019,VIXW190925C00055000,0,0,0,1.15,0,0.02,0,0,0,55.000,VIXW190925P00055000,0,0,34.7,37.7,0,0.02,0,0,0
09/25/2019,VIXW190925C00060000,0,0,0,1.15,0,0.02,0,0,0,60.000,VIXW190925P00060000,0,0,39.7,42.7,0,0.02,0,0,0
09/25/2019,VIXW190925C00065000,0,0,0,1.1,0,0.02,0,0,0,65.000,VIXW190925P00065000,0,0,44.7,47.7,0,0.02,0,0,0
09/25/2019,VIXW190925C00070000,0,0,0,1.1,0,0.02,0,0,0,70.000,VIXW190925P00070000,0,0,49.6,52.6,0,0.02,0,0,0
09/25/2019,VIXW190925C00075000,0,0,0,1.1,0,0.02,0,0,0,75.000,VIXW190925P00075000,0,0,54.6,57.6,0,0.02,0,0,0
09/25/2019,VIXW190925C00080000,0,0,0,1.1,0,0.02,0,0,0,80.000,VIXW190925P00080000,0,0,59.6,62.6,0,0.02,0,0,0
10/02/2019,VIXW191002C00010000,0,0,7.6,10.6,0,0.02,0,0,0,10.000,VIXW191002P00010000,0,0,0,1.1,0,0.02,0,0,0
10/02/2019,VIXW191002C00010500,0,0,7.1,10.1,0,0.02,0,0,0,10.500,VIXW191002P00010500,0,0,0,1.1,0,0.02,0,0,0
